2017,scso,,AOA,,GWO,,COA,,SHO,,ChOA,,PDO,,FOX,,FOX_LEVY,
F15,2978.6521,1556.3784,15221.1613,5703.7238,4111.2732,3585.7069,8339.1955,3893.4052,2741.1251,1324.7893,11331.7188,8272.1874,8326.822758,4838.406379,4059.5944,3370.8384,1828.0462,314.086
F16,1790.7597,134.7301,2007.1725,166.4848,1723.7674,113.0947,2083.5389,96.4199,1818.7474,130.292,1908.9629,125.2126,2013.476309,115.8146119,2034.164,226.4161,1806.1412,106.2143
F17,1765.561,16.8725,1880.1879,106.3686,1759.6828,33.3745,1807.7072,44.2211,1785.2822,23.4356,1773.6635,17.9231,1821.149165,58.24957695,1899.4577,170.0179,1754.3136,68.7856
F18,19949.5384,14177.0389,17809.9899,9047.6772,23652.2238,13672.0178,5598487.324,14378627.4177,19638.381,8368.9838,37938.8346,24386.4655,1895331.28,4984990.908,13693.6644,9670.4027,15932.6424,12486.9529
F19,5593.2311,5282.3731,28427.8163,24857.2958,12070.6865,29752.9087,11876.5047,22864.2759,10767.7929,37755.9526,19048.1428,3307.6023,122287.1066,314521.9394,2930.9141,1237.4884,1987.8546,60.1367
F20,2112.6891,59.6049,2133.5144,64.2825,2070.0863,50.8776,2240.6314,56.3576,2084.5947,56.268,2232.4839,81.4851,2225.365455,75.48495115,2282.9829,137.8011,2199.1151,93.2599
F21,2270.6474,64.0604,2316.2512,35.096,2312.2617,16.6264,2363.0393,51.0644,2307.3611,44.5643,2310.7598,59.5062,2255.269577,48.93960411,2200.1031,0.028282,2228.1874,1.8837
F22,2318.8687,29.1617,2805.0797,230.2729,2310.2314,13.9073,3092.7582,296.6829,2406.7065,181.6488,3465.2114,717.3938,2656.798168,155.9767939,2300.0993,0.026823,2328.4426,1.9834
F23,2638.7794,14.696,2707.9805,31.0396,2617.0182,9.0804,2727.2116,33.4423,2652.6172,16.3011,2652.51,5.0289,2693.880816,13.14537513,2500,0,2500,0
F24,2717.8594,95.4629,2810.3126,80.3172,2734.9743,58.0875,2882.096,63.2628,2769.4238,56.4437,2790.5557,17.0321,2802.504851,51.66644312,2600,0,2600,0
F25,2935.1839,18.2652,3132.4077,103.6547,2939.2655,22.0915,3555.9195,241.804,2945.4994,52.0277,3007.7618,54.4309,3190.092581,146.362329,2700,0,2700,0
F26,3086.483,196.4412,3803.6599,312.293,3185.4507,397.8124,4136.8748,361.1912,3204.1711,296.2659,4014.6358,245.3512,3760.575423,352.6912603,2800,0,2800,0
F27,3104.0379,18.8359,3232.2925,56.3021,3101.8916,20.7615,3197.0561,48.6778,3130.878,30.183,3100.0574,7.8725,3125.724837,10.53211255,2900,0,2900,0
F28,3344.0953,123.1416,3647.2974,155.1783,3361.1028,108.8504,3731.905,124.1409,3410.4688,169.4065,3243.7106,6.2073,3495.228875,99.61401325,3000,0,3000,0
F29,3227.6235,59.4363,3379.7098,120.8236,3195.6803,47.5604,3413.6059,109.0602,3237.1656,39.4621,3331.7427,69.4961,3339.326487,88.49773536,3121.5551,66.8099,3115.2293,78.075
F30,538438.5015,679937.3695,10519321.3244,10603871.6769,529315.0136,842105.0294,7994571.4647,8046248.0489,707631.9002,648738.3861,2522682.5632,2765399.5388,910320.865,264078.5664,3200,0,3273.9099,522.6218
