2017,scso,,AOA,,GWO,,COA,,SHO,,ChOA,,PDO,,FOX,,FOX_LEVY,
F3-30,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
F3,2359.2929,2583.2636,7519.9328,2459.6282,2154.7723,2221.7784,9766.6432,2890.6922,3506.5265,2267.194,2383.6029,987.6312,9435.267985,2889.472817,300,1.98E-05,301.2347,0.36556
F4,433.2608,36.7065,654.9027,191.6649,417.8356,26.1326,1181.6021,463.2499,430.7631,29.2215,565.2437,140.2473,723.3073905,201.8632439,427.495,13.89,430.8485,15.7364
F5,536.2606,14.175,554.3241,19.935,516.4307,8.1425,595.0954,18.0746,530.5779,10.1813,553.0801,7.8031,575.6059193,17.62264037,575.1154,22.0547,569.9525,22.7041
F6,615.4022,11.3234,639.2151,7.6044,600.643,0.96477,647.7232,8.623,612.5819,6.7166,628.0451,9.2622,642.7762386,9.821883663,647.843,6.7004,642.1693,13.1481
F7,763.9643,17.0017,796.4286,15.0842,727.8061,9.5607,802.8694,19.5834,760.4693,12.9941,787.9563,17.1528,805.947134,27.54761233,947.344,29.5846,795.0158,27.0253
F8,829.3443,6.5899,829.4448,5.1436,814.706,6.0165,855.9852,8.5693,826.0109,5.6932,837.3756,7.1299,848.8295782,11.12566673,859.9442,15.5263,863.9164,16.3856
F9,1084.9441,183.754,1355.8784,194.5029,922.1976,38.3708,1502.1787,186.5431,1051.0723,129.9086,1376.1532,171.2168,1454.152642,233.9612567,1963.6765,179.7565,1987.4205,287.7515
F10,1991.7514,323.3475,2106.4263,219.4972,1587.4294,334.8272,2602.6556,184.7718,1797.1716,294.6212,2764.0571,182.7339,2358.661815,256.8073768,2350.856,362.5813,2233.3389,295.9595
F11,1162.7525,55.8829,1373.3853,595.9886,1136.1187,36.6197,2475.2706,1482.6756,1140.0317,36.1713,1325.7622,98.7657,3052.959636,1345.858342,1149.8554,24.5799,1144.4955,24.2446
F12,932717.3129,1012225.8679,2448138.347,3650373.0581,545649.2432,759134.042,303391218.1337,230586611.9617,675101.1324,649437.4982,6522938.4499,4580695.4742,157225045.3,165614686.2,32743.8987,16535.552,419678.2382,380189.7088
F13,12410.7378,9031.3242,10265.9071,7670.1434,9287.7287,4497.7306,350841.4697,713167.6183,8666.2973,4711.8724,20624.2272,9668.4293,367079.5279,839364.0787,18067.9565,16762.5894,15041.6679,13461.0807
F14,2532.6908,1629.7694,8186.6949,7192.3725,2334.7107,1524.0802,1536.4787,37.6108,2938.3651,1515.2035,5379.763,901.7075,4071.328199,2591.808618,3823.7636,2682.7575,1645.5967,266.3036
